Name,City,Zip,County,Latitude,Longtitude,Type
MANOR BRANCH LIBRARY,SAN LEANDRO,94579,Alameda,37.69147,-122.15265,Library
MULFORD-MARINA BRANCH LIBRARY,SAN LEANDRO,94577,Alameda,37.69785,-122.1823,Library
SAN LEANDRO PUBLIC MAIN LIBRARY,SAN LEANDRO,94577,Alameda,37.72605,-122.15394,Library
SOUTH BRANCH LIBRARY,SAN LEANDRO,94578,Alameda,37.7087,-122.134,Library
ATASCADERO LIBRARY,ATASCADERO,93422,San Luis Obispo,35.48919,-120.66391,Library
CAMBRIA LIBRARY,CAMBRIA,93428,San Luis Obispo,35.56497,-121.09625,Library
CAYUCOS LIBRARY,CAYUCOS,93430,San Luis Obispo,35.4523,-120.90556,Library
CRESTON LIBRARY,CRESTON,93432,San Luis Obispo,35.51886,-120.52362,Library
LOS OSOS LIBRARY,LOS OSOS,93402,San Luis Obispo,35.31325,-120.83756,Library
MORRO BAY LIBRARY,MORRO BAY,93442,San Luis Obispo,35.36716,-120.84626,Library
NIPOMO LIBRARY,NIPOMO,93444,San Luis Obispo,35.02891,-120.49701,Library
OCEANO,OCEANO,93445,San Luis Obispo,35.10257,-120.61236,Library
SAN LUIS OBISPO CITY-COUNTY LIBRARY,SAN LUIS OBISPO,93401,San Luis Obispo,35.28226,-120.66219,Library
SAN MIGUEL LIBRARY,SAN MIGUEL,93451,San Luis Obispo,35.75154,-120.69831,Library
SANTA MARGARITA LIBRARY,SANTA MARGARITA,93453,San Luis Obispo,35.38823,-120.60816,Library
SHANDON LIBRARY,SHANDON,93461,San Luis Obispo,35.65524,-120.37557,Library
SHELL BEACH LIBRARY,SHELL BEACH,93449,San Luis Obispo,35.15465,-120.66964,Library
SOUTH COUNTY LIBRARY,ARROYO GRANDE,93420,San Luis Obispo,35.12454,-120.58974,Library
ATHERTON LIBRARY,ATHERTON,94027,San Mateo,37.46319,-122.19693,Library
BELMONT LIBRARY,BELMONT,94002,San Mateo,37.50882,-122.29318,Library
BRISBANE LIBRARY,BRISBANE,94005,San Mateo,37.68281,-122.40377,Library
EAST PALO ALTO LIBRARY,EAST PALO ALTO,94303,San Mateo,37.47235,-122.13992,Library
FOSTER CITY LIBRARY,FOSTER CITY,94404,San Mateo,37.55867,-122.27073,Library
HALF MOON BAY LIBRARY,HALF MOON BAY,94019,San Mateo,37.46486,-122.43283,Library
MILLBRAE LIBRARY,MILLBRAE,94030,San Mateo,37.60231,-122.39695,Library
NORTH FAIR OAKS LIBRARY,REDWOOD CITY,94063,San Mateo,37.47733,-122.21424,Library
PACIFICA LIBRARY,PACIFICA,94044,San Mateo,37.63217,-122.49193,Library
PORTOLA VALLEY LIBRARY,PORTOLA VALLEY,94028,San Mateo,37.38195,-122.22998,Library
SAN CARLOS LIBRARY,SAN CARLOS,94070,San Mateo,37.50367,-122.26243,Library
SANCHEZ LIBRARY,PACIFICA,94044,San Mateo,37.58445,-122.47635,Library
WOODSIDE LIBRARY,WOODSIDE,94062,San Mateo,37.42919,-122.25808,Library
HILLSDALE BRANCH LIBRARY,SAN MATEO,94403,San Mateo,37.53343,-122.30468,Library
MARINA BRANCH LIBRARY,SAN MATEO,94403,San Mateo,37.55641,-122.29308,Library
SAN MATEO PUBLIC LIBRARY,SAN MATEO,94402,San Mateo,37.56197,-122.32674,Library
NORTHGATE POP-UP LIBRARY,SAN RAFAEL,94903,Marin,38.00422,-122.5442,Library
PICKLEWEED LIBRARY,SAN RAFAEL,94901,Marin,37.96805,-122.49776,Library
SAN RAFAEL PUBLIC LIBRARY,SAN RAFAEL,94901,Marin,37.97503,-122.53261,Library
EL SALVADOR COMMUNITY CENTER,SANTA ANA,92703,Orange,33.7518,-117.89446,Library
GARFIELD COMMUNITY CENTER,SANTA ANA,92701,Orange,33.74907,-117.86042,Library
JEROME TEENSPACE,SANTA ANA,92704,Orange,33.73742,-117.89881,Library
NEWHOPE LIBRARY LEARNING CENTER,SANTA ANA,92703,Orange,33.74589,-117.92916,Library
ROOSEVELT-WALKER COMMUNITY CENTER,SANTA ANA,92701,Orange,33.74231,-117.8573,Library
SANTA ANA PUBLIC LIBRARY,SANTA ANA,92701,Orange,33.75114,-117.87317,Library
EASTSIDE LIBRARY,SANTA BARBARA,93103,Santa Barbara,34.42657,-119.68005,Library
MONTECITO LIBRARY,MONTECITO,93108,Santa Barbara,34.43672,-119.63348,Library
SANTA BARBARA PUBLIC LIBRARY,SANTA BARBARA,93101,Santa Barbara,34.42398,-119.70332,Library
MISSION LIBRARY FAMILY READING CENTER,SANTA CLARA,95050,Santa Clara,37.34728,-121.94487,Library
NORTHSIDE BRANCH LIBRARY,SANTA CLARA,95054,Santa Clara,37.39569,-121.94687,Library
SANTA CLARA CITY LIBRARY - CENTRAL PARK LIBRARY,SANTA CLARA,95051,Santa Clara,37.34053,-121.97357,Library
CAMPBELL LIBRARY,CAMPBELL,95008,Santa Clara,37.28824,-121.94327,Library
CUPERTINO LIBRARY,CUPERTINO,95014,Santa Clara,37.31779,-122.02896,Library
GILROY LIBRARY,GILROY,95020,Santa Clara,37.00505,-121.57281,Library
LOS ALTOS LIBRARY,LOS ALTOS,94022,Santa Clara,37.38088,-122.1133,Library
MILPITAS LIBRARY,MILPITAS,95035,Santa Clara,37.43245,-121.90651,Library
MORGAN HILL LIBRARY,MORGAN HILL,95037,Santa Clara,37.12414,-121.6628,Library
SARATOGA LIBRARY,SARATOGA,95070,Santa Clara,37.27012,-122.01511,Library
WOODLAND LIBRARY,LOS ALTOS,94024,Santa Clara,37.34427,-122.07544,Library
CANYON COUNTRY LIBRARY,SANTA CLARITA,91351,Los Angeles,34.41648,-118.45906,Library
NEWHALL LIBRARY,SANTA CLARITA,91321,Los Angeles,34.38162,-118.53028,Library
VALENCIA LIBRARY,SANTA CLARITA,91355,Los Angeles,34.4154,-118.55089,Library
APTOS BRANCH LIBRARY,APTOS,95003,Santa Cruz,36.98106,-121.90883,Library
BOULDER CREEK BRANCH LIBRARY,BOULDER CREEK,95006,Santa Cruz,37.12751,-122.12384,Library
BRANCIFORTE BRANCH LIBRARY,SANTA CRUZ,95062,Santa Cruz,36.97924,-122.00742,Library
CAPITOLA BRANCH LIBRARY,CAPITOLA,95010,Santa Cruz,36.97879498,-121.958032,Library
CENTRAL BRANCH LIBRARY,SANTA CRUZ,95060,Santa Cruz,36.97458,-122.02861,Library
FELTON BRANCH LIBRARY,FELTON,95018,Santa Cruz,37.05294,-122.07431,Library
GARFIELD PARK BRANCH LIBRARY,SANTA CRUZ,95060,Santa Cruz,36.95804,-122.03835,Library
LA SELVA BEACH BRANCH LIBRARY,LA SELVA BEACH,95076,Santa Cruz,36.93762,-121.86342,Library
LIVE OAK BRANCH LIBRARY,SANTA CRUZ,95062,Santa Cruz,36.96277,-121.98046,Library
SCOTTS VALLEY BRANCH LIBRARY,SCOTTS VALLEY,95066,Santa Cruz,37.04962,-122.02856,Library
SANTA FE SPRINGS CITY LIBRARY,SANTA FE SPRINGS,90670,Los Angeles,33.94629,-118.08372,Library
WILLIAM C. GORDON LEARNING CENTER,SANTA FE SPRINGS,90670,Los Angeles,33.95878,-118.08545,Library
CUYAMA LIBRARY,CUYAMA,93254,Santa Barbara,34.94529,-119.6828,Library
GUADALUPE LIBRARY,GUADALUPE,93434,Santa Barbara,34.95777,-120.57787,Library
LOS ALAMOS LIBRARY,LOS ALAMOS,93440,Santa Barbara,34.74063,-120.27822,Library
ORCUTT LIBRARY,ORCUTT,93455,Santa Barbara,34.86472,-120.44825,Library
SANTA MARIA PUBLIC LIBRARY,SANTA MARIA,93454,Santa Barbara,34.94857,-120.43531,Library
FAIRVIEW BRANCH LIBRARY,SANTA MONICA,90405,Los Angeles,34.01469,-118.46363,Library
MONTANA AVENUE BRANCH LIBRARY,SANTA MONICA,90403,Los Angeles,34.03453,-118.49194,Library
OCEAN PARK BRANCH LIBRARY,SANTA MONICA,90405,Los Angeles,34.00281,-118.48356,Library
PICO BRANCH LIBRARY,SANTA MONICA,90405,Los Angeles,34.02121,-118.46819,Library
SANTA MONICA PUBLIC LIBRARY,SANTA MONICA,90401,Los Angeles,34.01853,-118.49336,Library
SAUSALITO PUBLIC LIBRARY,SAUSALITO,94965,Marin,37.85965,-122.48887,Library
SHAFTER LIBRARY,SHAFTER,93263,Kern,36.90397,-120.1304,Library
ANDERSON LIBRARY,ANDERSON,96007,Shasta,40.45147,-122.30392,Library
BURNEY LIBRARY,BURNEY,96013,Shasta,40.88469,-121.66987,Library
REDDING LIBRARY,REDDING,96001,Shasta,40.57377,-122.38528,Library
SIERRA MADRE PUBLIC LIBRARY,SIERRA MADRE,91024,Los Angeles,34.16148,-118.06201,Library
SIGNAL HILL PUBLIC LIBRARY,SIGNAL HILL,90755,Los Angeles,33.79682,-118.16962,Library
SIMI VALLEY PUBLIC LIBRARY,SIMI VALLEY,93063,Ventura,34.28896,-118.71934,Library
DUNSMUIR BRANCH LIBRARY,DUNSMUIR,96025,Siskiyou,41.21172,-122.27143,Library
ETNA BRANCH LIBRARY,ETNA,96027,Siskiyou,41.45698,-122.89304,Library
FORT JONES BRANCH LIBRARY,FORT JONES,96032,Siskiyou,41.60698,-122.83961,Library
MCCLOUD BRANCH LIBRARY,MCCLOUD,96057,Siskiyou,41.25578,-122.13189,Library
MONTAGUE BRANCH LIBRARY,MONTAGUE,96064,Siskiyou,41.72775,-122.53199,Library
MT. SHASTA BRANCH LIBRARY,MT. SHASTA,96067,Siskiyou,41.31814,-122.30983,Library
SISKIYOU COUNTY FREE LIBRARY YREKA,YREKA,96097,Siskiyou,41.72667,-122.6397,Library
TULELAKE BRANCH LIBRARY,TULELAKE,96134,Siskiyou,41.95549,-121.47702,Library
WEED BRANCH LIBRARY,WEED,96094,Siskiyou,41.42708,-122.38552,Library
DIXON LIBRARY,DIXON,95620,Solano,38.44685,-121.82205,Library
FAIRFIELD CIVIC CENTER LIBRARY,FAIRFIELD,94533,Solano,38.25205,-122.04814,Library
FAIRFIELD CORDELIA LIBRARY,FAIRFIELD,94534,Solano,38.21808,-122.144,Library
JOHN F. KENNEDY LIBRARY,VALLEJO,94590,Solano,38.10169,-122.26069,Library
RIO VISTA LIBRARY,RIO VISTA,94571,Solano,38.15616,-121.69251,Library
SPRINGSTOWNE LIBRARY,VALLEJO,94591,Solano,38.10409,-122.21827,Library
SUISUN CITY LIBRARY,SUISUN CITY,94585,Solano,38.24886,-122.01,Library
VACAVILLE PUBLIC LIBRARY - CULTURAL CENTER,VACAVILLE,95687,Solano,38.35566,-121.96246,Library
VACAVILLE PUBLIC LIBRARY - TOWN SQUARE,VACAVILLE,95688,Solano,38.35738,-121.98726,Library
CENTRAL SANTA ROSA LIBRARY,SANTA ROSA,95404,Sonoma,38.44122,-122.71062,Library
CLOVERDALE REGIONAL LIBRARY,CLOVERDALE,95425,Sonoma,38.80871,-123.02002,Library
FORESTVILLE COMMUNITY LIBRARY,FORESTVILLE,95436,Sonoma,38.48158,-122.8893,Library
GUERNEVILLE REGIONAL LIBRARY,GUERNEVILLE,95446,Sonoma,38.50379,-122.99732,Library
HEALDSBURG REGIONAL LIBRARY,HEALDSBURG,95448,Sonoma,38.61444,-122.8699,Library
NORTHWEST SANTA ROSA LIBRARY,SANTA ROSA,95401,Sonoma,38.45915,-122.73093,Library
OCCIDENTAL COMMUNITY LIBRARY,OCCIDENTAL,95465,Sonoma,38.40622,-122.94739,Library
PETALUMA REGIONAL LIBRARY,PETALUMA,94952,Sonoma,38.24232,-122.63172,Library
RINCON VALLEY REGIONAL LIBRARY,SANTA ROSA,95409,Sonoma,38.47904,-122.66121,Library
ROHNERT PARK-COTATI REGIONAL LIBRARY,ROHNERT PARK,94928,Sonoma,38.34885,-122.70365,Library
ROSELAND REGIONAL LIBRARY,SANTA ROSA,95407,Sonoma,38.43034,-122.72955,Library
SEBASTOPOL REGIONAL LIBRARY`,SEBASTOPOL,95472,Sonoma,38.40207,-122.82559,Library
SONOMA COUNTY HISTORY & GENEALOGY,SANTA ROSA,95404,Sonoma,38.44127,-122.71063,Library
SONOMA VALLEY REGIONAL LIBRARY,SONOMA,95476,Sonoma,38.29296,-122.47282,Library
WINDSOR REGIONAL LIBRARY,WINDSOR,95492,Sonoma,38.54947,-122.81405,Library
SOUTH PASADENA PUBLIC LIBRARY,SOUTH PASADENA,91030,Los Angeles,34.11417,-118.15586,Library
COMMUNITY LEARNING CENTER,SOUTH SAN FRANCISCO,94080,San Mateo,37.65833,-122.41675,Library
GRAND AVENUE LIBRARY,SOUTH SAN FRANCISCO,94080,San Mateo,37.65639,-122.41394,Library
SOUTH SAN FRANCISCO MAIN LIBRARY,SOUTH SAN FRANCISCO,94080,San Mateo,37.65251,-122.43677,Library
ST. HELENA PUBLIC LIBRARY,ST. HELENA,94574,Napa,38.50785,-122.46961,Library
CERES LIBRARY,CERES,95307,Stanislaus,37.59295,-120.95495,Library
DENAIR LIBRARY,DENAIR,95316,Stanislaus,37.52747,-120.79349,Library
EMPIRE LIBRARY,EMPIRE,95319,Stanislaus,37.63752,-120.89896,Library
HUGHSON LIBRARY,HUGHSON,95326,Stanislaus,37.59602,-120.86633,Library
KEYES LIBRARY,KEYES,95328,Stanislaus,37.55352,-120.9092,Library
MODESTO LIBRARY,MODESTO,95354,Stanislaus,37.6432,-120.99355,Library
NEWMAN LIBRARY,NEWMAN,95360,Stanislaus,37.31635,-121.02771,Library
OAKDALE LIBRARY,OAKDALE,95361,Stanislaus,37.7647,-120.84877,Library
PATTERSON LIBRARY,PATTERSON,95363,Stanislaus,37.47166,-121.1317,Library
RIVERBANK LIBRARY,RIVERBANK,95367,Stanislaus,37.73565,-120.93273,Library
SALIDA LIBRARY,SALIDA,95368,Stanislaus,37.70819,-121.07848,Library
TURLOCK LIBRARY,TURLOCK,95380,Stanislaus,37.49789,-120.83946,Library
WATERFORD LIBRARY,WATERFORD,95386,Stanislaus,37.64212,-120.76092,Library
ARNOLD RUE MICRO LIBRARY,STOCKTON,95210,San Joaquin,38.01108,-121.2828,Library
ESCALON LIBRARY,ESCALON,95320,San Joaquin,37.79499,-120.99225,Library
FAIR OAKS LIBRARY,STOCKTON,95205,San Joaquin,37.95486,-121.25615,Library
LATHROP LIBRARY,LATHROP,95330,San Joaquin,37.82547,-121.30011,Library
LINDEN LIBRARY,LINDEN,95236,San Joaquin,38.02161,-121.08298,Library
MANTECA LIBRARY,MANTECA,95336,San Joaquin,37.7988,-121.21975,Library
MAYA ANGELOU LIBRARY,STOCKTON,95205,San Joaquin,37.93417,-121.24645,Library
MOUNTAIN HOUSE LIBRARY,MOUNTAIN HOUSE,95391,San Joaquin,37.77879,-121.53649,Library
RIPON LIBRARY,RIPON,95366,San Joaquin,37.73961,-121.12626,Library
CESAR CHAVEZ CENTRAL LIBRARY,STOCKTON,95202,San Joaquin,37.95887,-121.29223,Library
STRIBLEY MICRO LIBRARY,STOCKTON,95205,San Joaquin,37.95196,-121.26615,Library
THORNTON LIBRARY,THORNTON,95686,San Joaquin,38.22585,-121.4239,Library
TRACY BRANCH LIBRARY,TRACY,95376,San Joaquin,37.74262,-121.42522,Library
MARGARET TROKE LIBRARY,STOCKTON,95207,San Joaquin,38.01137,-121.31761,Library
WESTON RANCH LIBRARY,STOCKTON,95206,San Joaquin,37.89771,-121.30656,Library
VAN BUSKIRK,STOCKTON,95206,San Joaquin,37.91904,-121.2968,Library
SUNNYVALE PUBLIC LIBRARY,SUNNYVALE,94086,Santa Clara,37.37164,-122.0392,Library
BARBER BRANCH LIBRARY,LIVE OAK,95953,Sutter,39.28093,-121.66099,Library
SUTTER BRANCH LIBRARY,SUTTER,95982,Sutter,39.15904,-121.74872,Library
SUTTER COUNTY LIBRARY,YUBA CITY,95991,Sutter,39.13753,-121.62466,Library
CORNING BRANCH LIBRARY,CORNING,96021,Tehama,39.92871,-122.17991,Library
LOS MOLINOS BRANCH LIBRARY,LOS MOLINOS,96055,Tehama,40.02127,-122.10027,Library
TEHAMA COUNTY LIBRARY,RED BLUFF,96080,Tehama,40.16329,-122.22688,Library
NEWBURY PARK BRANCH LIBRARY,NEWBURY PARK,91320,Ventura,34.18179,-118.92871,Library
THOUSAND OAKS LIBRARY,THOUSAND OAKS,91362,Ventura,34.20122,-118.85267,Library
EL RETIRO BRANCH LIBRARY,REDONDO BEACH,90277,Los Angeles,33.81566,-118.37894,Library
HENDERSON BRANCH LIBRARY,TORRANCE,90503,Los Angeles,33.84156,-118.36459,Library
KATY GEISSERT CIVIC CENTER LIBRARY,TORRANCE,90503,Los Angeles,33.83781,-118.34318,Library
NORTH TORRANCE BRANCH LIBRARY,TORRANCE,90504,Los Angeles,33.87256,-118.33547,Library
SOUTHEAST BRANCH LIBRARY,TORRANCE,90501,Los Angeles,33.81535,-118.32021,Library
WALTERIA BRANCH LIBRARY,TORRANCE,90505,Los Angeles,33.80455,-118.35303,Library
HAYFORK BRANCH LIBRARY,HAYFORK,96041,Trinity,40.55283,-123.19127,Library
TRINITY CENTER BRANCH LIBRARY,TRINITY CENTER,96091,Trinity,40.9864,-122.70171,Library
TRINITY COUNTY FREE LIBRARY,WEAVERVILLE,96093,Trinity,40.73548,-122.94239,Library
ALPAUGH BRANCH LIBRARY,ALPAUGH,93201,Tulare,35.88788,-119.48686,Library
DINUBA BRANCH LIBRARY,DINUBA,93618,Tulare,36.54328,-119.38707,Library
EARLIMART LIBRARY,EARLIMART,93219,Tulare,35.88492,-119.26914,Library
EXETER LIBRARY,EXETER,93221,Tulare,36.29403,-119.13856,Library
FARMERSVILLE BRANCH LIBRARY,FARMERSVILLE,93223,Tulare,36.30206,-119.20293,Library
IVANHOE LIBRARY,IVANHOE,93235,Tulare,36.38717,-119.21789,Library
LINDSAY LIBRARY,LINDSAY,93247,Tulare,36.20357,-119.08949,Library
LONDON BRANCH LIBRARY,DINUBA,93618,Tulare,36.47698,-119.44491,Library
OROSI BRANCH LIBRARY,OROSI,93647,Tulare,36.54498,-119.29043,Library
PIXLEY LIBRARY,PIXLEY,93256,Tulare,35.96533,-119.29142,Library
SPRINGVILLE LIBRARY,SPRINGVILLE,93265,Tulare,36.13374,-118.813,Library
STRATHMORE LIBRARY,STRATHMORE,93267,Tulare,36.1465,-119.05804,Library
TERRA BELLA LIBRARY,TERRA BELLA,93270,Tulare,35.95579,-119.03967,Library
THREE RIVERS LIBRARY,THREE RIVERS,93271,Tulare,36.44222,-118.90123,Library
TIPTON LIBRARY,TIPTON,93272,Tulare,36.06079,-119.31029,Library
VISALIA BRANCH LIBRARY,VISALIA,93291,Tulare,36.33212,-119.29346,Library
WOODLAKE LIBRARY,WOODLAKE,93286,Tulare,36.4202,-119.10282,Library
TULARE PUBLIC LIBRARY,TULARE,93274,Tulare,36.21321,-119.34513,Library
GROVELAND BRANCH,GROVELAND,95321,Tuolumne,37.84045,-120.22562,Library
TUOLUMNE CITY LIBRARY,TUOLUMNE,95379,Tuolumne,37.96086,-120.2397,Library
TUOLUMNE COUNTY LIBRARY,SONORA,95370,Tuolumne,37.98257,-120.3691,Library
TWAIN HARTE LIBRARY,TWAIN HARTE,95383,Tuolumne,38.03907,-120.22545,Library
UPLAND PUBLIC LIBRARY,UPLAND,91786,San Bernardino,34.09881,-117.65031,Library
AVENUE LIBRARY,VENTURA,93001,Ventura,34.28868,-119.29845,Library
E. P. FOSTER LIBRARY,VENTURA,93001,Ventura,34.28122,-119.29085,Library
FILLMORE LIBRARY,FILLMORE,93015,Ventura,34.40463,-118.91498,Library
HILL ROAD LIBRARY,VENTURA,93003,Ventura,34.26762,-119.20642,Library
MEINERS OAKS LIBRARY,MEINERS OAKS,93023,Ventura,34.44925,-119.27781,Library
OAK PARK LIBRARY,OAK PARK,91377,Ventura,34.1805,-118.7649,Library
OAK VIEW LIBRARY,OAK VIEW,93022,Ventura,34.39968,-119.30515,Library
OJAI LIBRARY,OJAI,93023,Ventura,34.44739,-119.24669,Library
PIRU LIBRARY,PIRU,93040,Ventura,34.41562,-118.79802,Library
RAY D. PRUETER - PORT HUENEME LIBRARY,PORT HUENEME,93041,Ventura,34.15676,-119.19294,Library
SATICOY LIBRARY,VENTURA,93004,Ventura,34.28357,-119.1481,Library
SOLIZ LIBRARY,OXNARD,93036,Ventura,34.2371,-119.16825,Library
MUSEUM OF VENTURA COUNTY RESEARCH LIBRARY,VENTURA,93001,Ventura,34.28066,-119.29931,Library
VICTORVILLE CITY LIBRARY,VICTORVILLE,92395,San Bernardino,34.52315,-117.30357,Library
FREEDOM BRANCH LIBRARY,FREEDOM,95019,Santa Cruz,36.93796,-121.77782,Library
WATSONVILLE MAIN LIBRARY,WATSONVILLE,95076,Santa Cruz,36.90854,-121.75563,Library
TRANSIT DEPOT,WHITTIER,90602,Los Angeles,33.97455599,-118.0378819,Library
WHITTIER PUBLIC LIBRARY,WHITTIER,90602,Los Angeles,33.97419306,-118.0345863,Library
WHITTWOOD BRANCH LIBRARY,WHITTIER,90603,Los Angeles,33.93982,-117.99359,Library
BAYLISS BRANCH LIBRARY,GLENN,95943,Glenn,39.58279,-122.04674,Library
ELK CREEK BRANCH LIBRARY,ELK CREEK,95939,Glenn,39.60709,-122.53888,Library
WILLOWS PUBLIC LIBRARY,WILLOWS,95988,Glenn,39.52188,-122.20006,Library
WOODLAND PUBLIC LIBRARY,WOODLAND,95695,Yolo,38.67924,-121.77382,Library
A. F. TURNER COMMUNITY LIBRARY,WEST SACRAMENTO,95691,Yolo,38.58022,-121.52335,Library
CLARKSBURG BRANCH LIBRARY,CLARKSBURG,95612,Yolo,38.41614,-121.52655,Library
MARY L. STEPHENS DAVIS BRANCH LIBRARY,DAVIS,95616,Yolo,38.55685,-121.74706,Library
ESPARTO REGIONAL LIBRARY,ESPARTO,95627,Yolo,38.69249,-122.0163,Library
KNIGHTS LANDING BRANCH LIBRARY,KNIGHTS LANDING,95645,Yolo,38.8003,-121.71792,Library
WINTERS COMMUNITY LIBRARY,WINTERS,95694,Yolo,38.52565,-121.97153,Library
YOLO BRANCH LIBRARY,YOLO,95697,Yolo,38.73321,-121.80744,Library
YORBA LINDA PUBLIC LIBRARY,YORBA LINDA,92886,Orange,33.89108,-117.81512,Library
YUBA COUNTY LIBRARY,MARYSVILLE,95901,Yuba,39.13765,-121.58757,Library
